X (cm),Measured
-7.4,0.006060606
-7.2,0.006060606
-7,0.012121212
-6.8,0.012121212
-6.6,0.012121212
-6.4,0.012121212
-6.2,0.012121212
-6,0.012121212
-5.8,0.012121212
-5.6,0.018181818
-5.4,0.018181818
-5.2,0.018181818
-5,0.018181818
-4.8,0.018181818
-4.6,0.024242424
-4.4,0.024242424
-4.2,0.024242424
-4,0.024242424
-3.8,0.03030303
-3.6,0.03030303
-3.4,0.036363636
-3.2,0.042424242
-3,0.048484848
-2.8,0.060606061
-2.6,0.078787879
-2.55,0.096969697
-2.5,0.103030303
-2.45,0.115151515
-2.4,0.139393939
-2.35,0.163636364
-2.3,0.2
-2.25,0.236363636
-2.2,0.284848485
-2.15,0.333333333
-2.1,0.4
-2.05,0.472727273
-2,0.533333333
-1.95,0.606060606
-1.9,0.666666667
-1.85,0.715151515
-1.8,0.763636364
-1.75,0.806060606
-1.7,0.836363636
-1.65,0.860606061
-1.6,0.884848485
-1.55,0.903030303
-1.5,0.915151515
-1.45,0.927272727
-1.4,0.939393939
-1.35,0.939393939
-1.3,0.945454545
-1.25,0.957575758
-1.2,0.957575758
-1,0.975757576
-0.8,0.981818182
-0.6,0.993939394
-0.4,1
-0.19,1
0,1
0.2,0.987878788
0.4,0.993939394
0.6,0.981818182
0.8,0.981818182
1,0.975757576
1.2,0.957575758
1.4,0.933333333
1.45,0.921212121
1.5,0.915151515
1.55,0.903030303
1.6,0.884848485
1.65,0.860606061
1.7,0.842424242
1.75,0.806060606
1.8,0.76969697
1.85,0.715151515
1.9,0.666666667
1.95,0.612121212
2,0.539393939
2.05,0.484848485
2.1,0.4
2.15,0.351515152
2.2,0.284848485
2.25,0.242424242
2.3,0.193939394
2.35,0.163636364
2.4,0.133333333
2.45,0.115151515
2.49,0.103030303
2.55,0.084848485
2.6,0.078787879
2.65,0.072727273
2.7,0.066666667
2.75,0.060606061
2.8,0.054545455
3,0.048484848
3.2,0.042424242
3.4,0.036363636
3.6,0.03030303
3.8,0.03030303
4,0.024242424
4.2,0.024242424
4.4,0.024242424
4.6,0.024242424
4.8,0.018181818
5,0.018181818
5.2,0.018181818
5.4,0.018181818
5.6,0.012121212
5.8,0.012121212
6,0.012121212
6.2,0.012121212
6.4,0.012121212
6.6,0.012121212
6.8,0.012121212
7,0.012121212
7.2,0.012121212
7.4,0.006060606
